Size of Adjusted Gross Income,Zip, Taxable Income ,Number of Returns
"$200,000 or more",11730," 145,680 ", 381 
,,,
,11731," 792,540 "," 14,607 "
"Under $10,000",11731, 913 ," 2,361 "
"$10,000 under $25,000",11731," 9,934 "," 1,916 "
"$25,000 under $50,000",11731," 46,844 "," 2,409 "
"$50,000 under $75,000",11731," 75,337 "," 1,999 "
"$75,000 under $100,000",11731," 90,719 "," 1,660 "
"$100,000 under $200,000",11731," 315,717 "," 3,327 "
"$200,000 or more",11731," 253,075 ", 935 
,,,
,11732," 182,701 "," 1,819 "
"Under $10,000",11732, 97 , 267 
"$10,000 under $25,000",11732," 1,106 ", 197 
"$25,000 under $50,000",11732," 6,236 ", 303 
"$50,000 under $75,000",11732," 8,827 ", 220 
"$75,000 under $100,000",11732," 10,688 ", 187 
"$100,000 under $200,000",11732," 43,087 ", 426 
"$200,000 or more",11732," 112,660 ", 219 
,,,
,11733," 1,520,442 "," 8,907 "
"Under $10,000",11733, 704 ," 1,715 "
"$10,000 under $25,000",11733," 5,549 ", 938 
"$25,000 under $50,000",11733," 20,821 "," 1,090 "
"$50,000 under $75,000",11733," 32,862 ", 887 
"$75,000 under $100,000",11733," 45,248 ", 827 
"$100,000 under $200,000",11733," 199,008 "," 2,083 "
"$200,000 or more",11733," 1,216,251 "," 1,367 "
,,,
,11735," 728,237 "," 16,306 "
"Under $10,000",11735, 948 ," 2,530 "
"$10,000 under $25,000",11735," 14,242 "," 2,657 "
"$25,000 under $50,000",11735," 68,518 "," 3,288 "
"$50,000 under $75,000",11735," 95,444 "," 2,452 "
"$75,000 under $100,000",11735," 100,489 "," 1,809 "
"$100,000 under $200,000",11735," 280,321 "," 3,031 "
"$200,000 or more",11735," 168,276 ", 539 
,,,
,11738," 305,586 "," 8,023 "
"Under $10,000",11738, 542 ," 1,369 "
"$10,000 under $25,000",11738," 7,607 "," 1,326 "
"$25,000 under $50,000",11738," 32,823 "," 1,658 "
"$50,000 under $75,000",11738," 42,358 "," 1,165 "
"$75,000 under $100,000",11738," 48,567 ", 904 
"$100,000 under $200,000",11738," 128,113 "," 1,427 "
"$200,000 or more",11738," 45,577 ", 174 
,,,
,11739," 60,950 ", 720 
"Under $10,000",11739, 43 , 133 
"$10,000 under $25,000",11739, 610 , 97 
"$25,000 under $50,000",11739," 1,764 ", 82 
"$50,000 under $75,000",11739," 2,543 ", 65 
"$75,000 under $100,000",11739," 3,166 ", 59 
"$100,000 under $200,000",11739," 16,485 ", 171 
"$200,000 or more",11739," 36,338 ", 113 
,,,
,11740," 294,414 "," 4,401 "
"Under $10,000",11740, 353 , 798 
"$10,000 under $25,000",11740," 2,789 ", 574 
"$25,000 under $50,000",11740," 12,554 ", 653 
"$50,000 under $75,000",11740," 19,825 ", 540 
"$75,000 under $100,000",11740," 22,410 ", 406 
"$100,000 under $200,000",11740," 92,464 ", 989 
"$200,000 or more",11740," 144,019 ", 441 
,,,
,11741," 629,171 "," 14,010 "
"Under $10,000",11741, 850 ," 1,995 "
"$10,000 under $25,000",11741," 11,197 "," 1,897 "
"$25,000 under $50,000",11741," 57,796 "," 2,788 "
"$50,000 under $75,000",11741," 86,371 "," 2,194 "
"$75,000 under $100,000",11741," 100,657 "," 1,806 "
"$100,000 under $200,000",11741," 269,683 "," 2,934 "
"$200,000 or more",11741," 102,616 ", 396 
,,,
,11742," 281,273 "," 6,468 "
"Under $10,000",11742, 390 , 982 
"$10,000 under $25,000",11742," 5,376 ", 956 
"$25,000 under $50,000",11742," 26,138 "," 1,243 "
"$50,000 under $75,000",11742," 38,227 "," 1,003 "
"$75,000 under $100,000",11742," 46,511 ", 842 
"$100,000 under $200,000",11742," 112,393 "," 1,242 "
"$200,000 or more",11742," 52,239 ", 200 
,,,
,11743," 2,207,564 "," 21,772 "
"Under $10,000",11743," 1,464 "," 3,785 "
"$10,000 under $25,000",11743," 14,706 "," 2,722 "
"$25,000 under $50,000",11743," 63,891 "," 3,270 "
"$50,000 under $75,000",11743," 95,575 "," 2,518 "
"$75,000 under $100,000",11743," 110,188 "," 2,010 "
"$100,000 under $200,000",11743," 413,499 "," 4,387 "
"$200,000 or more",11743," 1,508,242 "," 3,080 "
,,,
,11746," 1,962,912 "," 32,197 "
"Under $10,000",11746," 2,343 "," 6,062 "
"$10,000 under $25,000",11746," 26,470 "," 5,638 "
"$25,000 under $50,000",11746," 107,880 "," 5,884 "
"$50,000 under $75,000",11746," 136,944 "," 3,791 "
"$75,000 under $100,000",11746," 147,368 "," 2,750 "
"$100,000 under $200,000",11746," 484,599 "," 5,227 "
"$200,000 or more",11746," 1,057,309 "," 2,845 "
,,,
,11747," 1,158,937 "," 10,302 "
"Under $10,000",11747, 777 ," 1,795 "
"$10,000 under $25,000",11747," 5,621 "," 1,134 "
"$25,000 under $50,000",11747," 27,970 "," 1,471 "
"$50,000 under $75,000",11747," 45,186 "," 1,213 "
"$75,000 under $100,000",11747," 53,356 ", 975 
"$100,000 under $200,000",11747," 212,004 "," 2,186 "
"$200,000 or more",11747," 814,023 "," 1,528 "
,,,
,11749," 56,827 "," 1,600 "
"Under $10,000",11749, 53 , 245 
"$10,000 under $25,000",11749," 1,443 ", 302 
"$25,000 under $50,000",11749," 6,857 ", 373 
"$50,000 under $75,000",11749," 8,944 ", 249 
"$75,000 under $100,000",11749," 9,546 ", 180 
"$100,000 under $200,000",11749," 19,396 ", 218 
"$200,000 or more",11749," 10,588 ", 33 
,,,
,11751," 379,094 "," 7,329 "
"Under $10,000",11751, 424 ," 1,152 "
"$10,000 under $25,000",11751," 5,778 "," 1,081 "
"$25,000 under $50,000",11751," 29,371 "," 1,439 "
"$50,000 under $75,000",11751," 40,041 "," 1,078 "
"$75,000 under $100,000",11751," 47,870 ", 884 
"$100,000 under $200,000",11751," 123,930 "," 1,364 "
"$200,000 or more",11751," 131,681 ", 331 
,,,
,11752," 174,157 "," 4,820 "
"Under $10,000",11752, 294 , 768 
"$10,000 under $25,000",11752," 4,455 ", 773 
"$25,000 under $50,000",11752," 19,429 "," 1,015 "
"$50,000 under $75,000",11752," 27,663 ", 759 
"$75,000 under $100,000",11752," 29,354 ", 549 
"$100,000 under $200,000",11752," 77,430 ", 886 
"$200,000 or more",11752," 15,533 ", 70 
,,,
,11753," 1,070,428 "," 6,522 "
"Under $10,000",11753, 767 ," 1,375 "
"$10,000 under $25,000",11753," 3,027 ", 561 
"$25,000 under $50,000",11753," 13,272 ", 748 
"$50,000 under $75,000",11753," 21,484 ", 625 
"$75,000 under $100,000",11753," 28,286 ", 539 
"$100,000 under $200,000",11753," 127,718 "," 1,355 "
"$200,000 or more",11753," 875,873 "," 1,319 "
,,,
,11754," 472,992 "," 9,100 "
"Under $10,000",11754, 497 ," 1,463 "
"$10,000 under $25,000",11754," 6,802 "," 1,214 "
"$25,000 under $50,000",11754," 30,927 "," 1,499 "
"$50,000 under $75,000",11754," 48,571 "," 1,274 "
"$75,000 under $100,000",11754," 57,390 "," 1,041 "
"$100,000 under $200,000",11754," 197,212 "," 2,093 "
"$200,000 or more",11754," 131,592 ", 516 
,,,
,11755," 293,816 "," 6,013 "
"Under $10,000",11755, 345 , 969 
"$10,000 under $25,000",11755," 5,024 ", 877 
"$25,000 under $50,000",11755," 22,270 "," 1,094 "
"$50,000 under $75,000",11755," 31,974 ", 853 
"$75,000 under $100,000",11755," 38,477 ", 702 
"$100,000 under $200,000",11755," 111,956 "," 1,224 "
"$200,000 or more",11755," 83,771 ", 294 
,,,
,11756," 863,173 "," 21,937 "
"Under $10,000",11756," 1,402 "," 3,340 "
"$10,000 under $25,000",11756," 18,810 "," 3,425 "
"$25,000 under $50,000",11756," 89,450 "," 4,518 "
"$50,000 under $75,000",11756," 126,706 "," 3,416 "
"$75,000 under $100,000",11756," 144,902 "," 2,669 "
"$100,000 under $200,000",11756," 368,516 "," 4,135 "
"$200,000 or more",11756," 113,388 ", 434 
,,,
,11757," 771,993 "," 22,948 "
"Under $10,000",11757," 1,192 "," 3,662 "
"$10,000 under $25,000",11757," 22,126 "," 4,197 "
"$25,000 under $50,000",11757," 103,700 "," 5,234 "
"$50,000 under $75,000",11757," 132,643 "," 3,577 "
"$75,000 under $100,000",11757," 142,179 "," 2,611 "
"$100,000 under $200,000",11757," 293,702 "," 3,359 "
"$200,000 or more",11757," 76,451 ", 308 
,,,
,11758," 1,551,932 "," 27,991 "
"Under $10,000",11758," 1,795 "," 4,622 "
"$10,000 under $25,000",11758," 20,087 "," 3,701 "
"$25,000 under $50,000",11758," 99,983 "," 4,954 "
"$50,000 under $75,000",11758," 150,077 "," 3,966 "
"$75,000 under $100,000",11758," 170,465 "," 3,089 "
"$100,000 under $200,000",11758," 550,506 "," 5,894 "
"$200,000 or more",11758," 559,018 "," 1,765 "
,,,
,11762," 645,039 "," 11,532 "
"Under $10,000",11762, 778 ," 1,859 "
"$10,000 under $25,000",11762," 8,123 "," 1,406 "
"$25,000 under $50,000",11762," 37,015 "," 1,800 "
"$50,000 under $75,000",11762," 59,726 "," 1,566 "
"$75,000 under $100,000",11762," 75,441 "," 1,361 "
"$100,000 under $200,000",11762," 271,074 "," 2,866 "
"$200,000 or more",11762," 192,882 ", 674 
,,,
,11763," 466,920 "," 13,590 "
"Under $10,000",11763, 766 ," 2,271 "
"$10,000 under $25,000",11763," 12,075 "," 2,386 "
"$25,000 under $50,000",11763," 56,187 "," 2,917 "
"$50,000 under $75,000",11763," 75,472 "," 2,091 "
"$75,000 under $100,000",11763," 84,313 "," 1,574 "
"$100,000 under $200,000",11763," 184,666 "," 2,108 "
"$200,000 or more",11763," 53,440 ", 243 
,,,
,11764," 387,116 "," 6,139 "
"Under $10,000",11764, 464 ," 1,025 "
"$10,000 under $25,000",11764," 4,436 ", 740 
"$25,000 under $50,000",11764," 16,766 ", 859 
"$50,000 under $75,000",11764," 26,401 ", 751 
"$75,000 under $100,000",11764," 36,542 ", 693 
"$100,000 under $200,000",11764," 147,393 "," 1,610 "
"$200,000 or more",11764," 155,114 ", 461 
,,,
,11765," 95,695 ", 371 
"Under $10,000",11765, 66 , 69 
"$10,000 under $25,000",11765, 341 , 39 
"$25,000 under $50,000",11765, 919 , 49 
"$50,000 under $75,000",11765," 1,659 ", 38 
"$75,000 under $100,000",11765, 855 , 16 
"$100,000 under $200,000",11765," 4,674 ", 52 
"$200,000 or more",11765," 87,180 ", 108 
,,,
,11766," 437,082 "," 5,938 "
"Under $10,000",11766, 476 ," 1,028 "
"$10,000 under $25,000",11766," 3,749 ", 683 
"$25,000 under $50,000",11766," 15,990 ", 848 
"$50,000 under $75,000",11766," 23,685 ", 681 
"$75,000 under $100,000",11766," 33,564 ", 655 
"$100,000 under $200,000",11766," 139,986 "," 1,527 "
"$200,000 or more",11766," 219,631 ", 516 
,,,
,11767," 377,870 "," 6,931 "
"Under $10,000",11767, 504 ," 1,142 "
"$10,000 under $25,000",11767," 4,968 ", 866 
"$25,000 under $50,000",11767," 21,513 "," 1,086 "
"$50,000 under $75,000",11767," 32,638 ", 890 
"$75,000 under $100,000",11767," 41,406 ", 769 
"$100,000 under $200,000",11767," 162,042 "," 1,737 "
"$200,000 or more",11767," 114,799 ", 441 
,,,
,11768," 1,002,311 "," 10,741 "
"Under $10,000",11768, 695 ," 1,840 "
"$10,000 under $25,000",11768," 6,438 "," 1,154 "
"$25,000 under $50,000",11768," 28,492 "," 1,410 "
"$50,000 under $75,000",11768," 45,460 "," 1,221 "
"$75,000 under $100,000",11768," 58,761 "," 1,072 "
"$100,000 under $200,000",11768," 234,230 "," 2,465 "
"$200,000 or more",11768," 628,236 "," 1,579 "
,,,
,11769," 244,823 "," 4,837 "
"Under $10,000",11769, 371 , 780 
"$10,000 under $25,000",11769," 3,468 ", 676 
"$25,000 under $50,000",11769," 16,762 ", 817 
"$50,000 under $75,000",11769," 26,699 ", 687 
"$75,000 under $100,000",11769," 30,718 ", 544 
"$100,000 under $200,000",11769," 99,698 "," 1,079 "
"$200,000 or more",11769," 67,106 ", 254 
,,,
,11771," 962,643 "," 5,095 "
"Under $10,000",11771, 519 , 984 
"$10,000 under $25,000",11771," 3,578 ", 671 
"$25,000 under $50,000",11771," 15,332 ", 758 
"$50,000 under $75,000",11771," 25,227 ", 646 
"$75,000 under $100,000",11771," 23,145 ", 410 
"$100,000 under $200,000",11771," 67,564 ", 746 
"$200,000 or more",11771," 827,278 ", 880 
,,,
,11772," 723,049 "," 21,144 "
"Under $10,000",11772, 859 ," 3,296 "
"$10,000 under $25,000",11772," 21,178 "," 4,268 "
"$25,000 under $50,000",11772," 98,176 "," 5,042 "
"$50,000 under $75,000",11772," 120,583 "," 3,192 "
"$75,000 under $100,000",11772," 119,452 "," 2,144 "
"$100,000 under $200,000",11772," 256,720 "," 2,854 "
"$200,000 or more",11772," 106,079 ", 348 
,,,
,11776," 446,979 "," 11,651 "
"Under $10,000",11776, 607 ," 1,866 "
"$10,000 under $25,000",11776," 10,695 "," 2,126 "
"$25,000 under $50,000",11776," 44,709 "," 2,309 "
"$50,000 under $75,000",11776," 63,726 "," 1,711 "
"$75,000 under $100,000",11776," 73,357 "," 1,360 "
"$100,000 under $200,000",11776," 180,799 "," 1,998 "
"$200,000 or more",11776," 73,086 ", 281 
,,,
,11777," 604,545 "," 4,638 "
"Under $10,000",11777, 280 , 734 
"$10,000 under $25,000",11777," 3,614 ", 639 
"$25,000 under $50,000",11777," 13,582 ", 658 
"$50,000 under $75,000",11777," 22,863 ", 570 
"$75,000 under $100,000",11777," 28,605 ", 491 
"$100,000 under $200,000",11777," 104,222 "," 1,072 "
"$200,000 or more",11777," 431,378 ", 474 
,,,
,11778," 234,173 "," 6,042 "
"Under $10,000",11778, 295 , 968 
"$10,000 under $25,000",11778," 5,141 ", 965 
"$25,000 under $50,000",11778," 22,812 "," 1,189 "
"$50,000 under $75,000",11778," 34,889 ", 958 
"$75,000 under $100,000",11778," 40,893 ", 759 
"$100,000 under $200,000",11778," 96,792 "," 1,088 "
"$200,000 or more",11778," 33,351 ", 115 
,,,
,11779," 720,846 "," 18,735 "
"Under $10,000",11779," 1,064 "," 2,824 "
"$10,000 under $25,000",11779," 17,554 "," 3,136 "
"$25,000 under $50,000",11779," 80,781 "," 3,959 "
"$50,000 under $75,000",11779," 112,164 "," 2,982 "
"$75,000 under $100,000",11779," 128,560 "," 2,339 "
"$100,000 under $200,000",11779," 286,811 "," 3,188 "
"$200,000 or more",11779," 93,911 ", 307 
,,,
,11780," 917,913 "," 7,303 "
"Under $10,000",11780, 554 ," 1,379 "
"$10,000 under $25,000",11780," 4,929 ", 906 
"$25,000 under $50,000",11780," 20,879 "," 1,066 "
"$50,000 under $75,000",11780," 30,870 ", 836 
"$75,000 under $100,000",11780," 35,195 ", 670 
"$100,000 under $200,000",11780," 144,662 "," 1,571 "
"$200,000 or more",11780," 680,824 ", 875 
,,,
,11782," 432,390 "," 7,665 "
"Under $10,000",11782, 544 ," 1,292 "
"$10,000 under $25,000",11782," 5,171 ", 948 
"$25,000 under $50,000",11782," 24,393 "," 1,205 "
"$50,000 under $75,000",11782," 41,391 "," 1,070 "
"$75,000 under $100,000",11782," 47,193 ", 853 
"$100,000 under $200,000",11782," 169,002 "," 1,808 "
"$200,000 or more",11782," 144,695 ", 489 
,,,
,11783," 586,247 "," 10,856 "
"Under $10,000",11783, 670 ," 1,658 "
"$10,000 under $25,000",11783," 7,913 "," 1,409 "
"$25,000 under $50,000",11783," 37,441 "," 1,789 "
"$50,000 under $75,000",11783," 59,611 "," 1,560 "
"$75,000 under $100,000",11783," 69,243 "," 1,247 "
"$100,000 under $200,000",11783," 245,601 "," 2,596 "
"$200,000 or more",11783," 165,768 ", 597 
,,,
,11784," 380,694 "," 11,730 "
"Under $10,000",11784, 719 ," 1,838 "
"$10,000 under $25,000",11784," 12,052 "," 2,187 "
"$25,000 under $50,000",11784," 50,452 "," 2,584 "
"$50,000 under $75,000",11784," 66,610 "," 1,863 "
"$75,000 under $100,000",11784," 74,878 "," 1,417 "
"$100,000 under $200,000",11784," 147,064 "," 1,714 "
"$200,000 or more",11784," 28,919 ", 127 
,,,
,11786," 176,239 "," 2,963 "
"Under $10,000",11786, 198 , 500 
"$10,000 under $25,000",11786," 1,975 ", 340 
"$25,000 under $50,000",11786," 7,788 ", 407 
"$50,000 under $75,000",11786," 10,789 ", 297 
"$75,000 under $100,000",11786," 14,844 ", 294 
"$100,000 under $200,000",11786," 83,684 ", 879 
"$200,000 or more",11786," 56,961 ", 246 
,,,
,11787," 1,312,889 "," 16,719 "
"Under $10,000",11787," 1,024 "," 2,724 "
"$10,000 under $25,000",11787," 10,851 "," 1,989 "
"$25,000 under $50,000",11787," 50,008 "," 2,507 "
"$50,000 under $75,000",11787," 80,856 "," 2,163 "
"$75,000 under $100,000",11787," 98,947 "," 1,820 "
"$100,000 under $200,000",11787," 390,317 "," 4,163 "
"$200,000 or more",11787," 680,885 "," 1,353 "
,,,
,11788," 523,168 "," 8,402 "
"Under $10,000",11788, 455 ," 1,370 "
"$10,000 under $25,000",11788," 5,826 "," 1,047 "
"$25,000 under $50,000",11788," 28,848 "," 1,430 "
"$50,000 under $75,000",11788," 44,601 "," 1,139 "
"$75,000 under $100,000",11788," 55,339 ", 986 
"$100,000 under $200,000",11788," 180,967 "," 1,890 "
"$200,000 or more",11788," 207,132 ", 540 
,,,
,11789," 139,370 "," 3,608 "
"Under $10,000",11789, 198 , 536 
"$10,000 under $25,000",11789," 3,081 ", 537 
"$25,000 under $50,000",11789," 14,791 ", 748 
"$50,000 under $75,000",11789," 22,558 ", 602 
"$75,000 under $100,000",11789," 25,336 ", 474 
"$100,000 under $200,000",11789," 58,480 ", 653 
"$200,000 or more",11789," 14,926 ", 58 
,,,
,11790," 538,968 "," 7,383 "
"Under $10,000",11790, 592 ," 1,642 "
"$10,000 under $25,000",11790," 6,323 ", 963 
"$25,000 under $50,000",11790," 18,688 ", 939 
"$50,000 under $75,000",11790," 27,787 ", 742 
"$75,000 under $100,000",11790," 36,118 ", 664 
"$100,000 under $200,000",11790," 172,115 "," 1,773 "
"$200,000 or more",11790," 277,345 ", 660 
,,,
,11791," 1,565,692 "," 12,358 "
"Under $10,000",11791," 1,403 "," 2,533 "
"$10,000 under $25,000",11791," 6,721 "," 1,187 "
"$25,000 under $50,000",11791," 27,390 "," 1,492 "
"$50,000 under $75,000",11791," 48,023 "," 1,345 "
"$75,000 under $100,000",11791," 56,877 "," 1,078 "
"$100,000 under $200,000",11791," 245,697 "," 2,603 "
"$200,000 or more",11791," 1,179,581 "," 2,120 "
,,,
,11792," 226,685 "," 4,083 "
"Under $10,000",11792, 306 , 680 
"$10,000 under $25,000",11792," 2,656 ", 482 
"$25,000 under $50,000",11792," 11,668 ", 608 
"$50,000 under $75,000",11792," 18,325 ", 500 
"$75,000 under $100,000",11792," 23,258 ", 444 
"$100,000 under $200,000",11792," 100,292 "," 1,075 "
"$200,000 or more",11792," 70,180 ", 294 
,,,
,11793," 905,260 "," 16,134 "
"Under $10,000",11793," 1,165 "," 2,684 "
"$10,000 under $25,000",11793," 10,481 "," 1,877 "
"$25,000 under $50,000",11793," 48,370 "," 2,397 "
"$50,000 under $75,000",11793," 83,628 "," 2,209 "
"$75,000 under $100,000",11793," 102,975 "," 1,881 "
"$100,000 under $200,000",11793," 378,419 "," 4,044 "
"$200,000 or more",11793," 280,223 "," 1,042 "
,,,
,11795," 699,715 "," 12,613 "
"Under $10,000",11795, 900 ," 2,157 "
"$10,000 under $25,000",11795," 9,251 "," 1,661 "
"$25,000 under $50,000",11795," 41,707 "," 2,094 "
"$50,000 under $75,000",11795," 60,840 "," 1,657 "
"$75,000 under $100,000",11795," 74,327 "," 1,398 "
"$100,000 under $200,000",11795," 258,493 "," 2,859 "
"$200,000 or more",11795," 254,197 ", 787 
,,,
,11796," 84,856 "," 1,821 "
"Under $10,000",11796, 82 , 307 
"$10,000 under $25,000",11796," 1,364 ", 239 
"$25,000 under $50,000",11796," 6,422 ", 304 
"$50,000 under $75,000",11796," 9,790 ", 254 
"$75,000 under $100,000",11796," 13,468 ", 243 
"$100,000 under $200,000",11796," 39,073 ", 418 
"$200,000 or more",11796," 14,656 ", 56 
,,,
,11797," 775,196 "," 4,774 "
"Under $10,000",11797, 718 ," 1,114 "
"$10,000 under $25,000",11797," 2,794 ", 488 
"$25,000 under $50,000",11797," 10,389 ", 521 
"$50,000 under $75,000",11797," 17,113 ", 459 
"$75,000 under $100,000",11797," 16,156 ", 303 
"$100,000 under $200,000",11797," 72,962 ", 776 
"$200,000 or more",11797," 655,064 "," 1,113 "
,,,
,11798," 149,757 "," 7,220 "
"Under $10,000",11798, 173 ," 1,229 "
"$10,000 under $25,000",11798," 8,327 "," 1,963 "
"$25,000 under $50,000",11798," 36,512 "," 2,147 "
"$50,000 under $75,000",11798," 28,846 ", 875 
"$75,000 under $100,000",11798," 22,885 ", 465 
"$100,000 under $200,000",11798," 41,078 ", 483 
"$200,000 or more",11798," 11,935 ", 58 
,,,
,11801," 787,755 "," 20,587 "
"Under $10,000",11801," 1,228 "," 3,389 "
"$10,000 under $25,000",11801," 18,201 "," 3,609 "
"$25,000 under $50,000",11801," 84,778 "," 4,358 "
"$50,000 under $75,000",11801," 122,560 "," 3,179 "
"$75,000 under $100,000",11801," 128,392 "," 2,268 "
"$100,000 under $200,000",11801," 312,807 "," 3,337 "
"$200,000 or more",11801," 119,790 ", 447 
,,,
,11802," 12,084 ", 411 
"Under $10,000",11802, 14 , 60 
"$10,000 under $25,000",11802, 542 , 96 
"$25,000 under $50,000",11802," 2,559 ", 113 
"$50,000 under $75,000",11802," 3,228 ", 81 
"$75,000 under $100,000",11802," 1,838 ", 28 
"$100,000 under $200,000",11802," 3,903 ", 33 
"$200,000 or more",11802, . , * 
,,,
,11803," 1,013,639 "," 14,375 "
"Under $10,000",11803," 1,181 "," 2,667 "
"$10,000 under $25,000",11803," 8,007 "," 1,513 "
"$25,000 under $50,000",11803," 37,508 "," 1,947 "
"$50,000 under $75,000",11803," 62,287 "," 1,708 "
"$75,000 under $100,000",11803," 74,865 "," 1,389 "
"$100,000 under $200,000",11803," 337,020 "," 3,492 "
"$200,000 or more",11803," 492,770 "," 1,659 "
,,,
,11804," 185,053 "," 2,515 "
"Under $10,000",11804, 258 , 484 
"$10,000 under $25,000",11804," 1,225 ", 239 
"$25,000 under $50,000",11804," 6,410 ", 316 
"$50,000 under $75,000",11804," 10,258 ", 285 
"$75,000 under $100,000",11804," 13,101 ", 249 
"$100,000 under $200,000",11804," 58,963 ", 609 
"$200,000 or more",11804," 94,837 ", 333 
,,,
,11901," 325,668 "," 11,178 "
"Under $10,000",11901, 450 ," 2,135 "
"$10,000 under $25,000",11901," 12,784 "," 2,662 "
"$25,000 under $50,000",11901," 53,870 "," 2,832 "
"$50,000 under $75,000",11901," 57,040 "," 1,512 "
"$75,000 under $100,000",11901," 48,635 ", 865 
"$100,000 under $200,000",11901," 91,565 ", 991 
"$200,000 or more",11901," 61,325 ", 181 
,,,
,11930," 154,404 "," 1,391 "
